"node_id","longitude","latitude"
5578673396,-80.0390878,40.4199622
5578673385,-80.0395346,40.4193904
5578673382,-80.0401529,40.4197106
5578673381,-80.0382418,40.419409
5578673378,-80.0415796,40.4174157
5578673365,-80.0371169,40.4185537
5578673361,-80.0360965,40.4184203
5578673360,-80.0344597,40.4186906
5578673350,-80.0323628,40.4179919
5578673349,-80.0333062,40.4184381
5578673337,-80.0346138,40.4189554
5578673322,-80.0395353,40.4181282
5578673321,-80.0394264,40.4181996
5578673319,-80.0402294,40.4176613
5578673318,-80.0382517,40.4187332
5578673315,-80.0394846,40.4182248
5578673314,-80.0384618,40.4188683
5578673313,-80.0383241,40.4189217
5578673295,-80.0385102,40.4196466
5578673256,-80.034971,40.4190444
5578673255,-80.0362145,40.4188977
5578673245,-80.0353286,40.4189186
5578673241,-80.0362117,40.419087
5578387556,-80.0410529,40.4223396
5578387555,-80.0431728,40.4225977
5578387554,-80.0417084,40.4218076
5578385687,-80.0504815,40.4311032
5578385686,-80.0501768,40.4313111
5578354429,-80.0429967,40.4223415
5578354423,-80.0434599,40.421936
5574080991,-79.8615602,40.5040313
5574080989,-79.8616533,40.5039927
5574080988,-79.8616372,40.5040108
5574080987,-79.8617267,40.5040245
5574080986,-79.8615993,40.5040535
5574080985,-79.8616733,40.5039701
5574080984,-79.8616548,40.503951
5574080976,-79.8619239,40.5042107
5558254231,-79.945226,40.4026945
5558254228,-79.9457682,40.403192
5558254222,-79.9446617,40.4034941
5558254084,-79.9491089,40.4074665
5558254073,-79.9484878,40.4077012
5558254058,-79.9447845,40.40844
5558254057,-79.9493927,40.4099914
5558254036,-79.9515478,40.4130028
5558254033,-79.9514517,40.412006
5555200544,-80.0219872,40.3945625
5555200543,-80.0236581,40.3952681
5555200542,-80.0235432,40.3951849
5555152766,-80.022011,40.3945439
5555152765,-80.0219591,40.3945844
5555152758,-80.0240011,40.3955165
5545640229,-79.918501,40.4642845
5545632718,-79.9183065,40.4628468
5538998834,-79.7800512,40.4370065
5538998800,-79.7800849,40.4358498
5538998794,-79.7805075,40.4361076
5538998724,-79.7747044,40.4388375
5538998718,-79.7745931,40.4385675
5538998713,-79.7742411,40.438153
5538998712,-79.7728765,40.4372334
5538998698,-79.7734001,40.4376973
5538998682,-79.7695311,40.4379617
5538998674,-79.7669598,40.4387739
5538998668,-79.7672186,40.4388776
5538998667,-79.7701398,40.4386767
5538998665,-79.7708663,40.4385378
5538998661,-79.7682311,40.4386911
5538998657,-79.7684673,40.4386757
5538998652,-79.7691036,40.4386332
5538998651,-79.7689755,40.4386426
5538998649,-79.768239,40.4397592
5538998648,-79.7686621,40.4391978
5538998647,-79.7689809,40.4387687
5538998635,-79.7702087,40.4385445
5538998634,-79.7652388,40.438889
5538998519,-79.7659874,40.4388642
5538998512,-79.7665759,40.4387922
5538998506,-79.7653442,40.4386854
5538998505,-79.7653901,40.4388839
5538998498,-79.7645088,40.4389055
5538998493,-79.7643297,40.4386645
5538998487,-79.7640468,40.4389141
5538998473,-79.7625753,40.4392973
5538998472,-79.7622389,40.4392973
5538998455,-79.7623837,40.4384149
5538998445,-79.7625902,40.4386517
5538998437,-79.7624398,40.4386242
5538998425,-79.7621772,40.4389417
