"node_id","longitude","latitude"
5633618048,-0.119486,51.5255255
5633612415,-0.1112894,51.5198644
5631066025,-0.1268101,51.5174241
5630940176,-0.1269681,51.516289
5630841551,-0.1262707,51.5157458
5630766895,-0.1264268,51.5161262
5630761778,-0.1259071,51.5169249
5622108687,-0.1046806,51.5035834
5622108685,-0.1047482,51.5037859
5622108684,-0.1047717,51.5036547
5622108683,-0.1047815,51.503779
5622108675,-0.1055219,51.5035968
5610155089,-0.1110066,51.5036158
5610135605,-0.1311734,51.5230607
5610135604,-0.1326029,51.5225202
5610135600,-0.1327349,51.5224343
5610095007,-0.130246,51.5236246
5610095005,-0.1301033,51.5236863
5610095004,-0.130696,51.5234458
5610089878,-0.1296911,51.5238652
5610089873,-0.1298696,51.5237865
5610058906,-0.1286655,51.5242997
5610058905,-0.1288328,51.5242252
5610049476,-0.1280014,51.5246062
5610032729,-0.1274148,51.52484
5610032728,-0.1276415,51.5247419
5610032726,-0.1273437,51.5248707
5610032725,-0.1266455,51.5251728
5610032724,-0.1263874,51.5252761
5610023878,-0.1253772,51.5256671
5610023877,-0.1254983,51.5256338
5610023876,-0.1256053,51.5256019
5610023873,-0.123757,51.5260294
5609858438,-0.1102016,51.5038137
5609643687,-0.0922384,51.5176518
5609643686,-0.0922513,51.5176555
5609643685,-0.092128,51.5176043
5609643682,-0.0920801,51.5176885
5609643676,-0.0919422,51.5179272
5609643675,-0.0917766,51.5182136
5609643674,-0.0921552,51.5175566
5609643673,-0.0920734,51.5175573
5609643672,-0.0917052,51.5181971
5609643671,-0.0918071,51.5179384
5609643670,-0.0918494,51.5179175
5609643669,-0.091812,51.5179091
5609643667,-0.0918356,51.5179454
5609643665,-0.0917932,51.517918
5609643664,-0.0919035,51.517808
5609643663,-0.0918634,51.5177994
5609643662,-0.0922377,51.5179976
5609643656,-0.0921996,51.5179882
5609643653,-0.0921768,51.5179823
5609643652,-0.0921459,51.5179748
5609643647,-0.0934663,51.5180291
5609643623,-0.0919418,51.5176668
5609643622,-0.0899972,51.5177765
5607822452,-0.1275578,51.528723
5604296878,-0.085084,51.5314159
5604256646,-0.087017,51.526106
5604256645,-0.0872921,51.5267192
5599421503,-0.0561268,51.529644
5599421502,-0.0559783,51.5296634
5581601206,-0.0696626,51.5309514
5580861161,-0.079023,51.5123468
5580861157,-0.0792284,51.5122731
5580861153,-0.0796702,51.5129311
5580861152,-0.079634,51.5130396
5577422341,-0.0741026,51.5069298
5577422340,-0.0743317,51.506755
5577419543,-0.0844688,51.503285
5577419528,-0.0811929,51.5038788
5577419525,-0.0746547,51.5067041
5577419521,-0.0744033,51.5066945
5577418616,-0.083318,51.5027717
5577418615,-0.0849011,51.5032628
5577418606,-0.0832537,51.5028501
5577418605,-0.0830146,51.5045677
5577418600,-0.0833618,51.5027207
5577418597,-0.074479,51.5067104
5577418596,-0.0847719,51.5033967
5577418593,-0.084601,51.5031556
5577418590,-0.0880073,51.5060813
5577418588,-0.0746184,51.5067283
5577418587,-0.0766839,51.5037457
5577418586,-0.0879784,51.5061438
5574051323,-0.0730427,51.5105943
5574051322,-0.0749128,51.5103259
5574051321,-0.0748678,51.5103253
5573994015,-0.1053202,51.5178336
5573994014,-0.1050289,51.5176836
5573991659,-0.0820791,51.5146119
5573981877,-0.1123929,51.5019369
5573981876,-0.1125715,51.5020249
5573872563,-0.1062062,51.5211561
5573872557,-0.1060035,51.5209815
5565487614,-0.080019,51.5204243
5565487613,-0.0800082,51.5204506
5565487612,-0.0799662,51.5205522
5565486434,-0.0808259,51.5205783
5565486432,-0.0803189,51.5204855
5565486430,-0.0810138,51.5202309
5565486429,-0.0804423,51.519934
5565486428,-0.0805188,51.520115
5565486427,-0.0805086,51.5199469
5565475804,-0.0817171,51.5196257
5565475802,-0.0818165,51.5196416
5565475799,-0.0817729,51.5196131
5565466190,-0.0824848,51.5189399
5565466183,-0.0835922,51.5198494
5565466181,-0.0827429,51.518977
5565466178,-0.0830798,51.5186323
5565466175,-0.0829771,51.5189521
5565466174,-0.0830396,51.5186906
5565455858,-0.086035,51.5168688
5565455857,-0.0861474,51.5166411
5565443398,-0.0894695,51.5174317
5565443396,-0.0893677,51.5157288
5565443391,-0.0914405,51.516687
5565443389,-0.0893113,51.5157236
5565443387,-0.0889499,51.5164896
5564754892,-0.0785821,51.5129658
5564410334,-0.0785595,51.5129735
5562142709,-0.1062917,51.5231038
5562142703,-0.1060596,51.5227794
5562142702,-0.1060177,51.5227374
5562142694,-0.1054875,51.5227355
5562142691,-0.1051746,51.5230298
5548968131,-0.0664094,51.5231448
5540675362,-0.0871907,51.5209058
5540675361,-0.0871257,51.5211967
5540675360,-0.0857681,51.5207093
5527824103,-0.122489,51.5117264
5521433865,-0.1268578,51.507823
5521433864,-0.1270978,51.5079103
