"edge_id","source","target","length","car","car.reverse","bike","bike.reverse","foot","WKT","l1","l2","l3","l4","l5","l6","l7","l8","l9","l10","l11","l12","l13","l14","l15","l16","l17","l17.1","l19","l20","l21","l22","l23","l24","l25","l26","l27","l28","l29","l30","l31","l32","l33","l34","l35","l36","l37","l38","l39","l40","l41","l42","l43","l44","l45","l46","l47","l48","l49","l50","l51","l52","l53","l54","l55","l56","l57","l58","l59","l60","l61","l62","l63","l64","l65","saftyScore","edgeBetweenness","f","betweenness"
231,3643294733,3643294767,4.86305999756,1,1,2,2,1,"LINESTRING(-79.9343101 40.438185","-79.9343484 40.4381524)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,127,148,148
102,302756791,302757103,103.41342926,0,0,5,5,1,"LINESTRING(-79.9428269 40.441115","-79.9427839 40.4411281","-79.9427647 40.4411678","-79.942741 40.441213","-79.9427153 40.4413436","-79.942681 40.4414677","-79.942578 40.4417682","-79.9425179 40.4417813","-79.9424492 40.4417682","-79.9423805 40.4417421","-79.9422861 40.4417225)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,9,587,587
124,302967354,302967451,9.61615371704,0,0,5,5,1,"LINESTRING(-79.9412767 40.442634","-79.9412457 40.4427172)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,68,82,82
63,1781186438,302757341,14.7165021896,1,1,2,2,1,"LINESTRING(-79.9393456 40.4419097","-79.9391931 40.4419733)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,2013,1921,1921
40,104857368,105958952,70.5328979492,1,1,2,2,1,"LINESTRING(-79.9339051 40.4370074","-79.9330877 40.4371311)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,106,201,201
313,302755745,302967376,46.718006134,0,0,5,5,1,"LINESTRING(-79.9412225 40.4438894","-79.9406943 40.4437672)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,380,234,234
316,4961818971,4961818972,99.7244567871,0,0,5,5,1,"LINESTRING(-79.9406648 40.4437599","-79.9395322 40.4435122)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1026,924,924
95,1707758893,4961818953,6.35144805908,0,0,5,5,1,"LINESTRING(-79.9426748 40.4429513","-79.9426699 40.4430083)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,209,156,156
108,1713340598,302757191,2.59991025925,0,0,5,5,1,"LINESTRING(-79.9419257 40.4419419","-79.9419256 40.4419653)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,224,901.333333333333,901.333333333333
161,302757191,1713340599,2.52070641518,0,0,5,5,1,"LINESTRING(-79.9419256 40.4419653","-79.9419174 40.4419871)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,72,92,92
